"dgp","n","rep","model","auc","logloss","acc","t_fit"
"twonorm",1500,9,"ares",0.99500088916991,0.123728238559171,0.964444444444444,0.068256139755249
"twonorm",1500,9,"earth",0.973324902685293,0.21727635014225,0.913333333333333,0.017296314239502
"twonorm",1500,9,"ranger",0.994052441265388,0.242508860267326,0.96,0.203832387924194
"threenorm",1500,9,"ares",0.900969953181486,0.419330402903615,0.828888888888889,0.069063663482666
"threenorm",1500,9,"earth",0.825052843681476,0.541666080886907,0.762222222222222,0.018465518951416
"threenorm",1500,9,"ranger",0.935619604511961,0.430811432131704,0.848888888888889,0.261350870132446
"ringnorm",1500,9,"ares",0.984201976981439,0.614597483460191,0.935555555555556,0.0839803218841553
"ringnorm",1500,9,"earth",0.962896931518789,0.258318725990094,0.906666666666667,0.0204627513885498
"ringnorm",1500,9,"ranger",0.99475050018819,0.236870477893237,0.96,0.259461402893066
"waveform",1500,9,"ares",0.947411743186391,0.279918469018797,0.882222222222222,0.0925557613372803
"waveform",1500,9,"earth",0.937877263581489,0.310706269105496,0.871111111111111,0.0252394676208496
"waveform",1500,9,"ranger",0.961519114688129,0.286636139237008,0.893333333333333,0.204594612121582
"twonorm",500,10,"ares",0.985487891737892,0.766231077560554,0.96,0.0313036441802979
"twonorm",500,10,"earth",0.98468660968661,0.188619058721062,0.946666666666667,0.00844097137451172
"twonorm",500,10,"ranger",0.998575498575499,0.257097004132331,0.966666666666667,0.0480201244354248
"threenorm",500,10,"ares",0.891025641025641,0.465695026921064,0.8,0.0255448818206787
"threenorm",500,10,"earth",0.841346153846154,0.542681534301037,0.76,0.00781536102294922
"threenorm",500,10,"ranger",0.941417378917379,0.450163942279395,0.9,0.0610949993133545
"ringnorm",500,10,"ares",0.929955555555556,2.09254525858291,0.9,0.0291957855224609
"ringnorm",500,10,"earth",0.949333333333333,0.78852532428081,0.866666666666667,0.0130636692047119
"ringnorm",500,10,"ranger",0.981511111111111,0.30739190267967,0.913333333333333,0.0565335750579834
"waveform",500,10,"ares",0.922031772575251,0.43824421102368,0.873333333333333,0.0317351818084717
"waveform",500,10,"earth",0.943352842809365,0.292269375014879,0.886666666666667,0.00854873657226562
"waveform",500,10,"ranger",0.955267558528428,0.306007295967613,0.84,0.047961950302124
"twonorm",1500,10,"ares",0.996818747653579,0.132274446700798,0.977777777777778,0.0719485282897949
"twonorm",1500,10,"earth",0.981742377837934,0.197739357402201,0.922222222222222,0.0170774459838867
"twonorm",1500,10,"ranger",0.998893477444723,0.232470272188748,0.986666666666667,0.205318450927734
"threenorm",1500,10,"ares",0.922651169226512,0.363687351234125,0.835555555555556,0.0774023532867432
"threenorm",1500,10,"earth",0.866749688667497,0.466230749750145,0.788888888888889,0.0214130878448486
"threenorm",1500,10,"ranger",0.937773033663445,0.431545230540711,0.862222222222222,0.271924734115601
"ringnorm",1500,10,"ares",0.991226856883163,0.201150076255762,0.944444444444444,0.0781595706939697
"ringnorm",1500,10,"earth",0.96368234898931,0.252873276667435,0.884444444444444,0.019946813583374
"ringnorm",1500,10,"ranger",0.994605702543026,0.244272354309592,0.948888888888889,0.260353565216064
"waveform",1500,10,"ares",0.916152263374486,0.411512745427713,0.864444444444444,0.088327169418335
"waveform",1500,10,"earth",0.919214187732706,0.393888992236857,0.848888888888889,0.0277266502380371
"waveform",1500,10,"ranger",0.929967666078777,0.314239105466016,0.871111111111111,0.201498031616211
