"n","degree","dgp","threads","t_ares","t_earth","rss_ares","rss_earth","gcv_ares","gcv_earth","rss_rel_err","speed_ratio"
500,1,"friedman",1,0.273858070373535,0.00942373275756836,1371.31215764824,1362.84811168765,3.01348873692637,3.02016202036045,0.00621055705914614,29.0604665283611
1500,1,"friedman",1,0.86601185798645,0.0115816593170166,4195.37347964691,4235.25470454647,2.90828217945328,2.93592831304135,0.00941648795212955,74.7744199930008
5000,1,"friedman",1,1.28597354888916,0.0313005447387695,13991.5648715893,13988.9013684971,2.81970199296763,2.81916522063042,0.000190401163180611,41.0847018677066
500,2,"friedman",1,0.341019630432129,0.0168032646179199,517.47124514729,523.973950138338,1.22809186672574,1.23008830580562,0.012410359311434,20.2948437810381
1500,2,"friedman",1,1.042964220047,0.0485930442810059,1719.88001120271,1718.85816554964,1.20366949632905,1.21121353942862,0.000594490967054542,21.4632409942398
5000,2,"friedman",1,3.56050038337708,0.182523250579834,5334.79887498158,5341.9134474279,1.08576999090749,1.08612206042928,0.00133183970806321,19.5071059279637
500,1,"additive",1,0.263388633728027,0.00444722175598145,119.7132538975,121.164723349151,0.265292529412741,0.268509082214185,0.0119793072730293,59.2254329062349
1500,1,"additive",1,0.79465651512146,0.0118358135223389,376.012969826107,375.772524891865,0.259949263128787,0.259783036193827,0.000639868320099427,67.1399995971235
5000,1,"additive",1,0.514521360397339,0.0310840606689453,1577.69764669589,1265.92922194493,0.317951368522184,0.255736819160108,0.246276347323718,16.5525786954654
500,2,"additive",1,0.107306718826294,0.0131571292877197,131.018596023048,109.84752441054,0.294672461870742,0.255108140445107,0.192731440477296,8.15578508652714
1500,2,"additive",1,0.987076044082642,0.0360987186431885,342.606117000327,345.537360300106,0.239775175944196,0.241002826251872,0.00848314433273887,27.3437972643634
5000,2,"additive",1,1.66236472129822,0.124573469161987,1328.09843542164,1293.00018290774,0.26867383964321,0.262100416474612,0.0271448163564586,13.3444523338801
500,1,"interaction",1,0.122889518737793,0.00411415100097656,978.834359335702,966.555515108874,2.09790079972845,2.10632693177957,0.0127037133769234,29.8699582753825
1500,1,"interaction",1,0.786498546600342,0.00867486000061035,3436.21119730678,3410.94518327293,2.33103701976654,2.32639629212414,0.0074073351157173,90.6641198296001
5000,1,"interaction",1,0.274059772491455,0.0279526710510254,12574.9960102096,12461.6719186115,2.53218881387357,2.52149894829792,0.00909381119469826,9.80442162365023
500,2,"interaction",1,0.282258033752441,0.00832033157348633,562.323162443983,542.498733989769,1.27823378336156,1.24642295075474,0.036542810539698,33.9238924866755
1500,2,"interaction",1,0.624194622039795,0.0238385200500488,720.608880193691,718.583543515606,0.507785487957349,0.504627468357196,0.00281851246993026,26.184285800012
5000,2,"interaction",1,0.107898235321045,0.0634951591491699,12344.2175211864,7188.10325109164,2.4772590256459,1.45268933862026,0.71731221575201,1.69931435351722
500,1,"friedman",2,0.147444248199463,NA,1353.16882308871,NA,2.99871207332678,NA,NA,NA
1500,1,"friedman",2,0.439354658126831,NA,4017.23058469822,NA,2.76970795842451,NA,NA,NA
5000,1,"friedman",2,0.713751316070557,NA,14666.2490135413,NA,2.95804520249181,NA,NA,NA
500,2,"friedman",2,0.18563985824585,NA,430.676980250254,NA,1.03333252616221,NA,NA,NA
1500,2,"friedman",2,0.559633255004883,NA,1801.60618383499,NA,1.26952289974519,NA,NA,NA
5000,2,"friedman",2,1.93755388259888,NA,5727.22815354639,NA,1.16329134589212,NA,NA,NA
500,1,"additive",2,0.0474908351898193,NA,134.800987772516,NA,0.288914153201642,NA,NA,NA
1500,1,"additive",2,0.306104421615601,NA,396.856594747993,NA,0.272875076206637,NA,NA,NA
5000,1,"additive",2,0.113633632659912,NA,1695.15944819381,NA,0.341349117642934,NA,NA,NA
500,2,"additive",2,0.177277565002441,NA,129.762996483149,NA,0.298138164831834,NA,NA,NA
1500,2,"additive",2,0.542119741439819,NA,393.736076076694,NA,0.274620107792078,NA,NA,NA
5000,2,"additive",2,0.397193193435669,NA,1604.44948679254,NA,0.324253364538733,NA,NA,NA
500,1,"interaction",2,0.107014179229736,NA,1132.31832409467,NA,2.36766809292088,NA,NA,NA
1500,1,"interaction",2,0.213904142379761,NA,3728.40329272056,NA,2.54291497801373,NA,NA,NA
5000,1,"interaction",2,0.277147531509399,NA,12555.0942462736,NA,2.53224503877797,NA,NA,NA
500,2,"interaction",2,0.17709493637085,NA,234.294185142785,NA,0.544121082469681,NA,NA,NA
1500,2,"interaction",2,0.462910890579224,NA,2133.41337474176,NA,1.47790234970159,NA,NA,NA
5000,2,"interaction",2,1.57190775871277,NA,7421.28438863336,NA,1.50586324449683,NA,NA,NA
500,1,"friedman",4,0.0871448516845703,NA,1193.05093601949,NA,2.68897754702577,NA,NA,NA
1500,1,"friedman",4,0.187006950378418,NA,4184.85931201466,NA,2.86969521373239,NA,NA,NA
5000,1,"friedman",4,0.629369258880615,NA,14159.4597191833,NA,2.86272590653986,NA,NA,NA
500,2,"friedman",4,0.109320640563965,NA,511.213351697106,NA,1.1872337426081,NA,NA,NA
1500,2,"friedman",4,0.327676057815552,NA,1621.66187454125,NA,1.14664924028636,NA,NA,NA
5000,2,"friedman",4,1.10734462738037,NA,5805.49965170526,NA,1.17918953503303,NA,NA,NA
500,1,"additive",4,0.0617728233337402,NA,117.091272358422,NA,0.253048855162327,NA,NA,NA
1500,1,"additive",4,0.183048486709595,NA,382.594322474494,NA,0.263068464233911,NA,NA,NA
5000,1,"additive",4,0.285550117492676,NA,1419.93457710509,NA,0.286387518702286,NA,NA,NA
500,2,"additive",4,0.0527353286743164,NA,128.280522159492,NA,0.285478916661085,NA,NA,NA
