"dgp","ares_train","ares_test","ares_t","autotune_train","autotune_test","autotune_t","earth_train","earth_test","earth_t","ranger_train","ranger_test","ranger_t"
"simple",0.00891639083188954,0.0179756495270572,0.0122339725494385,0.00891639083188954,0.0179756495270572,0.53532862663269,0.00000592733003636845,0.0236780765526854,0.00971007347106934,0.00613637021242253,0.046440799735408,0.652121067047119
"aw1",0,0,0.00501656532287598,0,0,0.0948727130889893,0,0,0.00530314445495605,0,0,0.00528979301452637
"aw2",0.0201307111417712,0.0188180674822174,0.0200324058532715,0.0203893574718956,0.0193737336137438,1.21097159385681,0.000757705534401975,0.025242000679052,0.0173690319061279,0.0360565447880282,0.257944194617389,1.11574673652649
"aw3",0.0209261676278163,0.0213343247113724,0.0319037437438965,0.0211362771843522,0.0224303738187078,2.72017574310303,0.000483813520573615,0.0332130136643302,0.0211162567138672,0.0358636361577371,0.281032962422479,1.07340621948242
"aw3reverse",0.0178039421785211,0.0184368767862898,0.0235881805419922,0.0177338941667998,0.0184635977018714,1.34830641746521,0.000484902820073106,0.0236143623132069,0.0215802192687988,0.0371703973809198,0.269590984395529,1.06280469894409
"ai1",0.0143947954057816,0.0161162737334933,0.00627708435058594,0.0145539226725397,0.0158793689924007,0.292002439498901,1.42854087360624e-32,0.0159310283648339,0.00565409660339355,0.00581766730059531,0.0321338987377051,0.343281507492065
"ai2",0.0202305231194144,0.0275070100720425,0.0126035213470459,0.0180234553819895,0.0259113920949936,0.675403118133545,0.0000401229313919365,0.0310076876402631,0.00610899925231934,0.0146176343885119,0.0901973569221211,1.0965793132782
"kunzel",0.0182060521113204,0.0193770117443045,0.0234241485595703,0.0185616761576104,0.0193036173247402,1.26036047935486,0.0242345930349553,0.0402092976680254,0.0123300552368164,0.0117201799116278,0.0713609244821563,0.575429677963257
"nw1",0.0155515039065456,0.0128440408261658,0.00637173652648926,0.0156070017482211,0.0127058140329141,0.084498405456543,5.58032124042118e-32,0.012317504903566,0.0061647891998291,0.0265465248861237,0.19136059612075,1.0837025642395
"nw2",0.0182860776181623,0.0270242303582989,0.00705528259277344,0.0182860776181623,0.0270242303582989,0.234007596969604,0.000284117762029328,0.0257110439883052,0.00756669044494629,0.0147447647639308,0.11075419284537,0.790318250656128
"nw3",0,0,0.00496196746826172,0,0,0.0964815616607666,9.98402083170343e-31,9.98402083170343e-31,0.00535058975219727,0,0,0.0053551197052002
"nw4",0.0298988711624377,0.0390524550950433,0.0222988128662109,0.0305363635932076,0.0390584047005418,2.36721205711365,0.00759158239492737,0.0359211114117841,0.0322933197021484,0.0142357233401203,0.0764410476752402,0.193728685379028
