"n","degree","dgp","threads","t_ares","t_earth","rss_ares","rss_earth","gcv_ares","gcv_earth","rss_rel_err","speed_ratio"
500,1,"friedman",1,0.674565315246582,0.00917458534240723,1371.31215764824,1362.84811168765,3.01348873692637,3.02016202036045,0.00621055705914614,73.5254281333645
1500,1,"friedman",1,4.00301599502563,0.0113747119903564,4195.37347964691,4235.25470454647,2.90828217945328,2.93592831304135,0.00941648795212955,351.922404577753
500,2,"friedman",1,2.44120097160339,0.0165653228759766,511.865660473182,513.246679019867,1.16353730996218,1.19195590958464,0.00269075008789698,147.368149107657
1500,2,"friedman",1,18.1473889350891,0.0500969886779785,1589.37552320608,1582.55323651927,1.12382011615679,1.11516467464073,0.00431093661140847,362.245105224584
500,1,"additive",1,0.444539070129395,0.0046844482421875,117.862764126526,118.366723424153,0.25900602588357,0.262308528363775,0.00425760959709905,94.8967833876222
1500,1,"additive",1,1.62706756591797,0.0101568698883057,419.330623606567,383.07038372243,0.2875487546452,0.264828269144969,0.0946568605272559,160.193798267646
500,2,"additive",1,2.01157879829407,0.0128555297851562,118.329234586663,117.65960990421,0.271868420133196,0.273250803322427,0.0056912026395285,156.475760385757
1500,2,"additive",1,14.8273861408234,0.035966157913208,372.296919455073,375.772524891865,0.259666884401763,0.26209102381313,0.00924922714291599,412.25938496417
500,1,"interaction",1,0.146523952484131,0.00629091262817383,1148.42861098353,1108.78469746158,2.36254543524872,2.37641872840464,0.0357543837074175,23.291366633821
1500,1,"interaction",1,1.07999110221863,0.00893950462341309,3613.76652998273,3601.54211261195,2.45809375232645,2.46302964670107,0.00339421752920102,120.811068142419
500,2,"interaction",1,1.25942730903625,0.0102775096893311,244.677357721644,244.716084899502,0.55618350007875,0.57449877841816,0.000158253503745355,122.542069733454
1500,2,"interaction",1,8.56149911880493,0.022491455078125,2034.6971025525,1256.00332063366,1.41914539098103,0.873048669994727,0.619977486624785,380.655635176391
500,1,"friedman",2,0.476038217544556,NA,1257.26618048671,NA,2.7861854415218,NA,NA,NA
1500,1,"friedman",2,1.90528082847595,NA,4099.55307208186,NA,2.81119792859455,NA,NA,NA
500,2,"friedman",2,1.32945728302002,NA,535.327605304285,NA,1.27046958507005,NA,NA,NA
1500,2,"friedman",2,9.22965455055237,NA,1647.48659933037,NA,1.16490945933999,NA,NA,NA
500,1,"additive",2,0.170114040374756,NA,121.677882288374,NA,0.262961091731912,NA,NA,NA
1500,1,"additive",2,0.942675828933716,NA,432.925755046602,NA,0.296871381934371,NA,NA,NA
500,2,"additive",2,1.16017007827759,NA,133.289730221407,NA,0.296626542713524,NA,NA,NA
1500,2,"additive",2,3.24251389503479,NA,415.50688313195,NA,0.285892379275737,NA,NA,NA
500,1,"interaction",2,0.392723083496094,NA,1146.94965120051,NA,2.37876409007866,NA,NA,NA
1500,1,"interaction",2,1.47126388549805,NA,3442.05598994551,NA,2.34761506328558,NA,NA,NA
500,2,"interaction",2,0.808529376983643,NA,221.277889994682,NA,0.50839904925779,NA,NA,NA
1500,2,"interaction",2,5.72607088088989,NA,689.488367323468,NA,0.487525374425782,NA,NA,NA
500,1,"friedman",4,0.394855737686157,NA,1365.56768392391,NA,3.000865129113,NA,NA,NA
1500,1,"friedman",4,1.74895191192627,NA,4285.31448980048,NA,2.95454029747807,NA,NA,NA
500,2,"friedman",4,0.79812216758728,NA,576.206061255418,NA,1.33817177573066,NA,NA,NA
1500,2,"friedman",4,5.2066125869751,NA,1636.80094241176,NA,1.15339095600404,NA,NA,NA
500,1,"additive",4,0.347957134246826,NA,124.180517517352,NA,0.27288942841869,NA,NA,NA
1500,1,"additive",4,0.611824512481689,NA,389.239175591007,NA,0.266914062315971,NA,NA,NA
500,2,"additive",4,0.637166738510132,NA,120.963117117173,NA,0.277919921141274,NA,NA,NA
1500,2,"additive",4,2.50119996070862,NA,368.059606168019,NA,0.25496988217382,NA,NA,NA
500,1,"interaction",4,0.180604934692383,NA,1076.97061310492,NA,2.28923501563379,NA,NA,NA
1500,1,"interaction",4,1.53890490531921,NA,3762.63232787208,NA,2.58016032972232,NA,NA,NA
500,2,"interaction",4,0.481738567352295,NA,429.261187358482,NA,0.975766584436518,NA,NA,NA
1500,2,"interaction",4,2.8746452331543,NA,2069.03390213674,NA,1.44309436638867,NA,NA,NA
