"cell_id","n","p","setup","n_reps","median_s","min_s","mem_alloc_b","det_ok","rmse_te","lambda","sigma","R2","tag","iter","timestamp"
"n400_p5__default",400,5,"default",2,0.293514852994122,0.0284226030344144,16791344,TRUE,3.31166859875787,0.230977712038179,6.84954731264467,0.796025559913911,"v0.26-krls-iter-03",3,"2026-05-25 00:14:56"
"n400_p5__gcv",400,5,"gcv",2,0.0262693995609879,0.0255117730703205,16600400,TRUE,3.30863146788391,0.254364891362698,6.84954731264467,0.793181376781794,"v0.26-krls-iter-03",3,"2026-05-25 00:14:56"
"n400_p5__autotune_fast",400,5,"autotune_fast",2,0.758488239080179,0.717996193096042,40547560,TRUE,3.31166859875787,0.230977712038179,6.84954731264467,0.796025559913911,"v0.26-krls-iter-03",3,"2026-05-25 00:14:56"
"n800_p10__default",800,10,"default",2,0.161902551422827,0.157527517876588,61274376,TRUE,3.30289375041536,2.22044611732305,13.9732501318527,0.710244428627672,"v0.26-krls-iter-03",3,"2026-05-25 00:14:56"
"n800_p10__gcv",800,10,"gcv",2,0.125732867512852,0.108391906018369,61274376,TRUE,3.30289727744348,2.22050343450125,13.9732501318527,0.710242563966573,"v0.26-krls-iter-03",3,"2026-05-25 00:14:56"
"n800_p10__autotune_fast",800,10,"autotune_fast",2,5.52627920208033,5.52046335604973,155117096,TRUE,3.31368260412986,0.464255294763953,6.98662506592637,0.88420263703539,"v0.26-krls-iter-03",3,"2026-05-25 00:14:56"
"n1500_p10__default",1500,10,"default",2,0.497808490996249,0.478535525966436,205313224,TRUE,3.03094515214982,2.22044609809876,14.0611144993403,0.699949024293177,"v0.26-krls-iter-03",3,"2026-05-25 00:14:56"
"n1500_p10__gcv",1500,10,"gcv",2,0.353380466520321,0.338193641044199,205313224,TRUE,3.03094972276856,2.22051267858033,14.0611144993403,0.699947311431961,"v0.26-krls-iter-03",3,"2026-05-25 00:14:56"
"n1500_p10__autotune_fast",1500,10,"autotune_fast",2,37.9159965670551,37.845545697026,533054760,TRUE,3.03094515214982,2.22044609809876,14.0611144993403,0.699949024293177,"v0.26-krls-iter-03",3,"2026-05-25 00:14:56"
