"cell_id","n","p","setup","n_reps","median_s","min_s","mem_alloc_b","det_ok","rmse_te","lambda","sigma","R2","tag","iter","timestamp"
"n400_p5__default",400,5,"default",2,0.311057791521307,0.0309712400194257,14224752,TRUE,3.31166859875787,0.230977712038179,6.84954731264467,0.796025559913911,"v0.26-krls-speed-baseline",0,"2026-05-24 23:16:25"
"n400_p5__gcv",400,5,"gcv",2,0.0334336675005034,0.0291371720377356,14033808,TRUE,3.30863146788391,0.254364891362698,6.84954731264467,0.793181376781794,"v0.26-krls-speed-baseline",0,"2026-05-24 23:16:25"
"n400_p5__autotune_fast",400,5,"autotune_fast",2,1.45601696503581,1.43213098903652,37963144,TRUE,3.31166859875787,0.230977712038179,6.84954731264467,0.796025559913911,"v0.26-krls-speed-baseline",0,"2026-05-24 23:16:25"
"n800_p10__default",800,10,"default",2,0.155575206037611,0.144906369037926,51021384,TRUE,3.30289375041536,2.22044611732305,13.9732501318527,0.710244428627672,"v0.26-krls-speed-baseline",0,"2026-05-24 23:16:25"
"n800_p10__gcv",800,10,"gcv",2,0.112261033034883,0.106580769992433,51021384,TRUE,3.30289727744348,2.22050343450125,13.9732501318527,0.710242563966573,"v0.26-krls-speed-baseline",0,"2026-05-24 23:16:25"
"n800_p10__autotune_fast",800,10,"autotune_fast",2,8.23452981607988,8.23106966807973,144846280,TRUE,3.31368260412986,0.464255294763953,6.98662506592637,0.88420263703539,"v0.26-krls-speed-baseline",0,"2026-05-24 23:16:25"
"n1500_p10__default",1500,10,"default",2,0.533890101592988,0.521816343069077,169289032,TRUE,3.03094515214982,2.22044609809876,14.0611144993403,0.699949024293177,"v0.26-krls-speed-baseline",0,"2026-05-24 23:16:25"
"n1500_p10__gcv",1500,10,"gcv",2,0.403297424491029,0.401527488022111,169289032,TRUE,3.03094972276856,2.22051267858033,14.0611144993403,0.699947311431961,"v0.26-krls-speed-baseline",0,"2026-05-24 23:16:25"
"n1500_p10__autotune_fast",1500,10,"autotune_fast",2,50.8712932810304,50.8349908220116,497012744,TRUE,3.03094515214982,2.22044609809876,14.0611144993403,0.699949024293177,"v0.26-krls-speed-baseline",0,"2026-05-24 23:16:25"
